BTC_IMF,VAR_IMF,VAR_NAME,F_stat,p_value,Lag,Obs
2,1,gt_infl_d,2.6100501587918785,0.10676605255555631,1,550
2,2,gt_infl_d,3.339833871992539,0.06816705906820884,1,550
2,3,gt_infl_d,0.0017816390522922788,0.9663471468368523,1,550
3,1,gt_infl_d,0.01099276389172246,0.9165362086625832,1,550
3,2,gt_infl_d,0.1150443581306727,0.7346031203651195,1,550
3,3,gt_infl_d,0.050629025583643614,0.8220565010223708,1,550
1,1,gt_recess,0.4012525590863631,0.5267083325710847,1,550
1,2,gt_recess,0.2287551189036019,0.6326398741118868,1,550
1,3,gt_recess,0.08658483087544269,0.768676411826485,1,550
2,1,gt_recess,0.003961918224925611,0.9498343157067111,1,550
2,2,gt_recess,0.3996186434172664,0.5275508792971557,1,550
2,3,gt_recess,0.4550347914328043,0.5002391722697712,1,550
3,1,gt_recess,0.0005548401334364955,0.9812161370954499,1,550
3,2,gt_recess,3.896245735538671e-06,0.9984257848200198,1,550
3,3,gt_recess,0.12494118742338409,0.7238723963689407,1,550
1,1,gt_climate,6.651695491514539,0.010166662027360307,1,550
1,2,gt_climate,0.020748564061564643,0.8855191749207063,1,550
1,3,gt_climate,0.0034731625263776564,0.9530266034059963,1,550
2,1,gt_climate,0.0013269797661137335,0.9709546147060726,1,550
2,2,gt_climate,0.04232802329393246,0.8370724514058668,1,550
2,3,gt_climate,0.008626357810901049,0.9260344031603609,1,550
3,1,gt_climate,0.0001467385213986414,0.9903394325410313,1,550
3,2,gt_climate,0.001212634766820202,0.9722336822331081,1,550
3,3,gt_climate,1.869654256547954,0.17207729451057457,1,550
