fold,search,run,best_optimizer,n_test,RMSE,MAE,R2,best_val_loss,best_params,epochs,DM_stat,DM_pvalue,run_id,is_ensemble
fold2_search20_run5,20.0,5.0,RMSprop,44.0,0.2292976528406143,0.2045720964670181,-7.718822037678818,0.0048357550986111,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 8, 'dropout': 0.3606854861703851, 'lr': 0.0005659979643068906, 'batch': 8}",72.0,6.933703672593074,4.099609540730853e-12,,
fold2_search20_run6,20.0,6.0,RMSprop,44.0,0.0992048755288124,0.0791988372802734,-0.6320167794533695,0.0048357550986111,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 8, 'dropout': 0.3606854861703851, 'lr': 0.0005659979643068906, 'batch': 8}",72.0,0.8129490764229748,0.416247255309385,,
fold2_search20_run7,20.0,7.0,RMSprop,44.0,0.1004387289285659,0.086418867111206,-0.6728655508983878,0.0048357550986111,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 8, 'dropout': 0.3606854861703851, 'lr': 0.0005659979643068906, 'batch': 8}",72.0,1.0399150218130242,0.2983793827631567,,
fold2_search20_run8,20.0,8.0,RMSprop,44.0,0.1071862280368805,0.0942718461155891,-0.9051825792246077,0.0048357550986111,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 8, 'dropout': 0.3606854861703851, 'lr': 0.0005659979643068906, 'batch': 8}",72.0,1.5273977517945043,0.12666213516459557,,
fold2_search20_run9,20.0,9.0,RMSprop,44.0,0.1217831820249557,0.1041125059127807,-1.4594231457174756,0.0048357550986111,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 8, 'dropout': 0.3606854861703851, 'lr': 0.0005659979643068906, 'batch': 8}",72.0,2.710829332207521,0.006711516160448294,,
fold2_search2_ens,2.0,,,,0.08020757946330348,0.060708864287380565,-0.06681578036694114,0.0045797755010426,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 8, 'dropout': 0.34681533095693795, 'lr': 0.0004043024085167118, 'batch': 16}",,-0.23639544811628763,0.8131258279919229,Ensemble,True
fold2_search2_run1,2.0,1.0,RMSprop,44.0,0.0985922813415527,0.0671121552586555,-0.6119239557717946,0.0045797755010426,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 8, 'dropout': 0.34681533095693795, 'lr': 0.0004043024085167118, 'batch': 16}",88.0,0.5843947056684922,0.5589547879108328,,
fold2_search2_run10,2.0,10.0,RMSprop,44.0,0.2062405794858932,0.1895864456892013,-6.053535737340145,0.0045797755010426,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 8, 'dropout': 0.34681533095693795, 'lr': 0.0004043024085167118, 'batch': 16}",88.0,6.753975206840019,1.4384937685463228e-11,,
fold2_search2_run2,2.0,2.0,RMSprop,44.0,0.0984124168753624,0.0718916952610015,-0.6060475425540357,0.0045797755010426,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 8, 'dropout': 0.34681533095693795, 'lr': 0.0004043024085167118, 'batch': 16}",88.0,0.6824049364688602,0.4949829351731707,,
fold2_search2_run3,2.0,3.0,RMSprop,44.0,0.0973454490303993,0.0772514790296554,-0.5714113837721373,0.0045797755010426,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 8, 'dropout': 0.34681533095693795, 'lr': 0.0004043024085167118, 'batch': 16}",88.0,0.7976393859936132,0.4250797880266406,,
