date,mpe_qwen_t03_all,mpe_qwen_t03_real,mpe_qwen_t03_dir
2011-06-26,0.05732484076433121,0.13043478260869565,0.5294117647058824
2011-07-03,0.02564102564102564,0.06896551724137931,0.4
2011-07-10,-0.018518518518518517,-0.07142857142857142,-0.4
2011-07-17,0.004651162790697674,0.009708737864077669,0.02127659574468085
2011-07-24,0.014925373134328358,0.05357142857142857,0.21428571428571427
2011-07-31,-0.024390243902439025,-0.08,-0.21052631578947367
2011-08-07,-0.016597510373443983,-0.04878048780487805,-0.10526315789473684
2011-08-14,0.11152416356877323,0.234375,0.5357142857142857
2011-08-21,-0.004,-0.00980392156862745,-0.024390243902439025
2011-08-28,-0.01646090534979424,-0.03418803418803419,-0.10810810810810811
2011-09-04,0.1164021164021164,0.275,0.6666666666666666
2011-09-11,0.07236842105263158,0.20754716981132076,0.7857142857142857
2011-09-18,0.08974358974358974,0.32558139534883723,0.8235294117647058
2011-09-25,0.03137254901960784,0.05673758865248227,0.1509433962264151
2011-10-02,0.07006369426751592,0.22448979591836735,0.8461538461538461
2011-10-09,0.03592814371257485,0.10344827586206896,0.4
2011-10-16,0.02142857142857143,0.05454545454545454,0.15789473684210525
2011-10-23,0.006802721088435374,0.02631578947368421,0.0625
2011-10-30,0.06547619047619048,0.22916666666666666,0.5238095238095238
2011-11-06,0.05,0.1267605633802817,0.42857142857142855
2011-11-13,-0.028037383177570093,-0.12,-0.3333333333333333
2011-11-20,-0.010309278350515464,-0.029411764705882353,-0.1
